rxn.number,e.acceptor,e.donor,reactant.a ,reactant.b,reactant.c,reactant.d,product.e,product.f,product.g,product.h,product.i,e.transfer,coeff.a,coeff.b,coeff.c,coeff.d,coeff.e,coeff.f,coeff.g,coeff.h,coeff.i,state.a,state.b,state.c,state.d,state.e,state.f,state.g,state.h,state.i,iron
24,gypsum,Mn+2,gypsum,Mn+2,H2O,,HS-,manganite,Ca+2,H+,,8,-1,-8,-10,,1,8,1,15,,cr,aq,liq,,aq,cr,aq,aq,,
25,gypsum,CO,gypsum,CO,H2O,,HS-,Ca+2,HCO3-,H+,,8,-1,-4,-2,,1,1,4,3,,cr,aq,liq,,aq,aq,aq,aq,,
26,NO3-,siderite,siderite,NO3-,H2O,,ferrihydrite,NO2-,HCO3-,H+,,2,-2,-1,-3,,2,1,2,2,,cr,aq,liq,,cr,aq,aq,aq,,siderite
27,SO4-2,siderite,siderite,SO4-2,H2O,,ferrihydrite,HS-,HCO3-,H+,,8,-8,-1,-12,,8,1,8,7,,cr,aq,liq,,cr,aq,aq,aq,,siderite
28,CO,siderite,siderite,CO,H2O,,ferrihydrite,HCO3-,CH4,H+,,6,-6,-1,-11,,6,6,1,6,,cr,aq,liq,,cr,aq,aq,aq,,siderite
29,hematite,H2,hematite,H2,H+,,Fe+2,H2O,,,,2,-1,-1,-4,,2,3,,,,cr,aq,aq,,aq,liq,,,,hematite
30,hematite,HS-,hematite,HS-,H+,,Fe+2,sulfur,H2O,,,2,-1,-1,-5,,2,1,3,,,cr,aq,aq,,aq,cr,liq,,,hematite
31,hematite,NH4+,hematite,NH4+,H+,,Fe+2,NO2-,H2O,,,6,-3,-1,-10,,6,1,7,,,cr,aq,aq,,aq,aq,liq,,,hematite
32,hematite,CH4,hematite,CH4,H+,,Fe+2,HCO3-,H2O,,,8,-4,-1,-15,,8,1,9,,,cr,aq,aq,,aq,aq,liq,,,hematite
33,hematite,sulfur,hematite,sulfur,H+,,Fe+2,SO4-2,H2O,,,6,-3,-1,-10,,6,1,5,,,cr,cr,aq,,aq,aq,liq,,,hematite
34,hematite,acetate,hematite,acetate,H+,,Fe+2,HCO3-,H2O,,,8,-4,-1,-15,,8,2,8,,,cr,aq,aq,,aq,aq,liq,,,hematite
35,hematite,Mn+2,hematite,Mn+2,H2O,,Fe+2,manganite,,,,2,-1,-2,-1,,2,2,,,,cr,aq,liq,,aq,cr,,,,hematite
36,hematite,CO,hematite,CO,H+,,Fe+2,HCO3-,H2O,,,2,-1,-1,-3,,2,1,1,,,cr,aq,aq,,aq,aq,liq,,,hematite
37,NO3-,pyrite,pyrite,NO3-,,,Fe+2,SO4-2,NO2-,,,16,-1,-8,,,1,2,8,,,cr,aq,,,aq,aq,aq,,,pyrite
38,HCO3-,pyrite,pyrite,HCO3-,H2O,H+,Fe+2,SO4-2,CH4,,,16,-1,-2,-2,-2,1,2,2,,,cr,aq,liq,aq,aq,aq,aq,,,pyrite
39,CO,pyrite,pyrite,CO,H2O,,Fe+2,SO4-2,CH4,,,48,-3,-8,-16,,3,6,8,,,cr,aq,liq,,aq,aq,aq,,,pyrite
40,O2,Fe+2,O2,Fe+2,H2O,,ferrihydrite,H+,,,,4,-1,-4,-6,,4,8,,,,aq,aq,liq,,cr,aq,,,,Fe+2
41,NO3-,Fe+2,NO3-,Fe+2,H2O,,NH4+,ferrihydrite,H+,,,8,-1,-8,-13,,1,8,14,,,aq,aq,liq,,aq,cr,aq,,,Fe+2
42,NO3-,Fe+2,NO3-,Fe+2,H2O,,N2,ferrihydrite,H+,,,10,-2,-10,-14,,1,10,18,,,aq,aq,liq,,aq,cr,aq,,,Fe+2
43,NO3-,Fe+2,NO3-,Fe+2,H2O,,NO2-,ferrihydrite,H+,,,2,-1,-2,-3,,1,2,4,,,aq,aq,liq,,aq,cr,aq,,,Fe+2
44,ClO4-,Fe+2,ClO4-,Fe+2,H2O,,Cl-,ferrihydrite,H+,,,8,-1,-8,-12,,1,8,16,,,aq,aq,liq,,aq,cr,aq,,,Fe+2
45,ClO3-,Fe+2,ClO3-,Fe+2,H2O,,Cl-,ferrihydrite,H+,,,6,-1,-6,-9,,1,6,12,,,aq,aq,liq,,aq,cr,aq,,,Fe+2
46,ferrihydrite,CH4,ferrihydrite,CH4,H+,,HCO3-,Fe+2,H2O,,,8,-8,-1,-15,,1,8,13,,,cr,aq,aq,,aq,aq,liq,,,ferrihydrite
47,ferrihydrite,CH4,ferrihydrite,CH4,H+,,CO,Fe+2,H2O,,,6,-6,-1,-12,,1,6,11,,,cr,aq,aq,,aq,aq,liq,,,ferrihydrite
48,ferrihydrite,H2,ferrihydrite,H2,H+,,Fe+2,H2O,,,,2,-2,-1,-4,,2,4,,,,cr,aq,aq,,aq,liq,,,,ferrihydrite
49,ferrihydrite,acetate,ferrihydrite,acetate,H+,,Fe+2,HCO3-,H2O,,,8,-8,-1,-15,,8,2,12,,,cr,aq,aq,,aq,aq,liq,,,ferrihydrite
50,ferrihydrite,CO,ferrihydrite,CO,H+,,Fe+2,HCO3-,H2O,,,2,-2,-1,-3,,2,1,2,,,cr,aq,aq,,aq,aq,liq,,,ferrihydrite
51,NO3-,H2,NO3-,H2,H+,,NH4+,H2O,,,,8,-1,-4,-2,,1,3,,,,aq,aq,aq,,aq,liq,,,,
52,CO,Fe+2,CO,Fe+2,H2O,,ferrihydrite,CH4,H+,,,6,-1,-6,-11,,6,1,12,,,aq,aq,liq,,cr,aq,aq,,,Fe+2
53,HCO3-,Fe+2,HCO3-,Fe+2,H2O,,ferrihydrite,CH4,H+,,,8,-1,-8,-13,,8,1,15,,,aq,aq,liq,,cr,aq,aq,,,Fe+2
54,HCO3-,Fe+2,HCO3-,Fe+2,H2O,,ferrihydrite,acetate,H+,,,8,-2,-8,-12,,8,1,15,,,aq,aq,liq,,cr,aq,aq,,,Fe+2
