rxn.number,e.acceptor,e.donor,reactant.a,reactant.b,reactant.c,reactant.d,product.e,product.f,product.g,product.h,product.i,e.transfer,coeff.a,coeff.b,coeff.c,coeff.d,coeff.e,coeff.f,coeff.g,coeff.h,coeff.i,state.a,state.b,state.c,state.d,state.e,state.f,state.g,state.h,state.i,iron
34,hematite,HS-,hematite,HS-,H+,,Fe+2,sulfur,H2O,,,2,-1,-1,-5,,2,1,3,,,cr,aq,aq,,aq,cr,liq,,,hematite
35,hematite,NH4+,hematite,NH4+,H+,,Fe+2,NO2-,H2O,,,6,-3,-1,-10,,6,1,7,,,cr,aq,aq,,aq,aq,liq,,,hematite
36,magnetite,acetate,magnetite,acetate,H+,,Fe+2,HCO3-,H2O,,,8,-4,-1,-23,,12,2,12,,,cr,aq,aq,,aq,aq,liq,,,magnetite
37,magnetite,CH4,magnetite,CH4,H+,,Fe+2,HCO3-,H2O,,,8,-4,-1,-23,,12,1,13,,,cr,aq,aq,,aq,aq,liq,,,magnetite
38,magnetite,CH4,magnetite,CH4,H+,,Fe+2,CO,H2O,,,6,-3,-1,-18,,9,1,11,,,cr,aq,aq,,aq,aq,liq,,,magnetite
39,magnetite,CO,magnetite,CO,H+,,Fe+2,HCO3-,H2O,,,2,-1,-1,-5,,3,1,2,,,cr,aq,aq,,aq,aq,liq,,,magnetite
40,magnetite,H2,magnetite,H2,H+,,Fe+2,H2O,,,,2,-1,-1,-6,,3,4,,,,cr,aq,aq,,aq,liq,,,,magnetite
41,magnetite,HS-,magnetite,HS-,H+,,Fe+2,sulfur,H2O,,,2,-1,-1,-7,,3,1,4,,,cr,aq,aq,,aq,cr,liq,,,magnetite
42,magnetite,NH4+,magnetite,NH4+,H+,,Fe+2,NO2-,H2O,,,6,-3,-1,-16,,9,1,10,,,cr,aq,aq,,aq,aq,liq,,,magnetite
43,CO,pyrite,pyrite,CO,H2O,,Fe+2,SO4-2,CH4,,,48,-3,-8,-16,,3,6,8,,,cr,aq,liq,,aq,aq,aq,,,pyrite
44,HCO3-,pyrite,pyrite,HCO3-,H2O,H+,Fe+2,SO4-2,CH4,,,16,-1,-2,-2,-2,1,2,2,,,cr,aq,liq,aq,aq,aq,aq,,,pyrite
45,NO3-,pyrite,pyrite,NO3-,,,Fe+2,SO4-2,NO2-,,,16,-1,-8,,,1,2,8,,,cr,aq,,,aq,aq,aq,,,pyrite
46,CO,siderite,siderite,CO,H2O,,ferrihydrite,HCO3-,CH4,H+,,6,-6,-1,-11,,6,6,1,6,,cr,aq,liq,,cr,aq,aq,aq,,siderite
47,NO3-,siderite,siderite,NO3-,H2O,,ferrihydrite,NO2-,HCO3-,H+,,2,-2,-1,-3,,2,1,2,2,,cr,aq,liq,,cr,aq,aq,aq,,siderite
48,SO4-2,siderite,siderite,SO4-2,H2O,,ferrihydrite,HS-,HCO3-,H+,,8,-8,-1,-12,,8,1,8,7,,cr,aq,liq,,cr,aq,aq,aq,,siderite
